"id","Kingdom","Phylum","Class","Order","Family","Genus","Species","1256-200-HI6-M","1256-203-HI7-M","1256-206-HI8-M","1256-209-HI10-M","1256-216-HI58-M","1256-219-HI59-M","1256-222-HI60-M","1256-225-HI61-M","1256-228-HI62-M","1256-232-HI63-M","1256-235-HI64-M","1256-238-HI65-M","1256-244-HI67-M","1256-247-HI68-M","1256-251-HI69-M","1256-254-HI70-M","1256-256-HIA-M","1256-259-HIB-M","1256-262-HICM","1256-269-HIE-M"
"5617b767267fbe4c00bd01901ed7ff03","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Cyanobacteriaceae","Cyanobacterium_CLg1","Unclassified  Cyanobacterium_CLg1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"c4c1841241a474b239d66510ceddb6b9","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Cyanobacteriaceae","Unclassified Cyanobacteriaceae","Unclassified Cyanobacteriaceae",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"b9c2fc17168ae9d7f90bae5181e81167","d__Bacteria","Cyanobacteria","Cyanobacteriia","Eurycoccales","Eurycoccales_Incertae_Sedis","Synechococcus_PCC-7336","Unclassified  Synechococcus_PCC-7336",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"c9862f095e349d67c28840a7153f48ac","d__Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_CC9902","Unclassified  Synechococcus_CC9902",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"fa7e95899ac79b7e2d05daa837f1b2b9","d__Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Selenomonas","Unclassified  Selenomonas",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f94c3279a7721dfa07f6fb015aa4e651","d__Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Selenomonas","Unclassified  Selenomonas",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4ec06a9ff28a05e01a17da8df43a4c48","d__Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella","Unclassified  Veillonella",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"058210a24669e63024ae57396dfdd660","d__Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella","Unclassified  Veillonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"c96e233d476c615fc3d701e472b6bac8","d__Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella","Unclassified  Veillonella",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74f7158cac58d7b32594964c7c5998a5","d__Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella","Unclassified  Veillonella",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ec1244cc38c8ab9990cc883e754f30b5","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Anaerococcus","Anaerococcus uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"315f9f3e980250ae06a2efbc41e63b49","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Anaerococcus","Anaerococcus uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"f4a97dc8fe903df5e24eb26af0ca0de5","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Anaerococcus","Anaerococcus uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"ca7f92987506656401a146f2ebe6d9c3","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Parvimonas","Unclassified  Parvimonas",0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bb5d1cc6e8b7e574e7000c00eea1caf1","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Parvimonas","Parvimonas uncultured_bacterium",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b4ae101e439c6bb3e507d722e6921fce","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","[Eubacterium]_yurii_group","[Eubacterium]_yurii_group uncultured_bacterium",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cc10426d505684eea0facbb76d44f2f6","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","[Eubacterium]_yurii_group","[Eubacterium]_yurii_group uncultured_bacterium",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b536940ce94bfbe68571a4e3f7662b8f","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Mogibacterium","Unclassified  Mogibacterium",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73b6fe71585134700c28ef930eae0aa1","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium]_brachy_group","[Eubacterium]_brachy_group uncultured_bacterium",0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3b1d679176606de13026c44f85744a65","d__Bacteria","Firmicutes","Bacilli","Entomoplasmatales","Unclassified Entomoplasmatales","Unclassified Entomoplasmatales","Unclassified Entomoplasmatales",0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
"fd97de0a95fe5017ab37e7c2a34f9a5a","d__Bacteria","Firmicutes","Bacilli","Entomoplasmatales","Unclassified Entomoplasmatales","Unclassified Entomoplasmatales","Unclassified Entomoplasmatales",0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
"26bd72d8d6be049ec4362f8b3794e494","d__Bacteria","Firmicutes","Bacilli","Entomoplasmatales","Unclassified Entomoplasmatales","Unclassified Entomoplasmatales","Unclassified Entomoplasmatales",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
"52ea160d6a9134f5b46ad5030ea5e75a","d__Bacteria","Firmicutes","Bacilli","Entomoplasmatales","Unclassified Entomoplasmatales","Unclassified Entomoplasmatales","Unclassified Entomoplasmatales",0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
"044a94b7fc0b16eb07408a22d01b089d","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Unclassified  Lactococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"545bec396ed650e913fcf78324005e82","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
"6dc54da6168f086feece1cbb05dd0c80","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
"6a7cfdcfa3294e3b0f5ce36c5e1fb7f4","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,39,0,0,0,12
"138a17b4757a466c91a456889ea176c1","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
"e94f921edc6d05d6c3cf045734f26bbf","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
"3514d1288df66561149fba245f382850","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"8257945ae6bbd266fe7a7081a2c3c636","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,26,0,0,0,24
"313d47889206407870614e3a83e8aaa2","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4
"108b05b6b205190b516b59c365f6e8aa","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"d47504a5f702e2e6ae3bf25b1f39cfaa","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"6032dc88d8a978f502f4f76edcd21809","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"d82786ea3ce00abc1c54ba4ed7339b62","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"ed33190a87c415c466212c224c19c873","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,15,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"d8b451fe8b2fa29a51a3814c881b9283","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"6e204ee2adc9ae27b065b34113b78576","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,15,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"4a4c1eee369f7d5f3278a7788b91d573","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"99f08cfc1de6830982ce2d24b1152ad0","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"342e70faf99c951fec44124da1f563dc","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"2954859109b1b13ba7afe0c3e8a27ab4","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7067c7d5da22600c060f1289aeccd946","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"611fb46f8050a80decd1a878f5eef015","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0a6d63d3cc00975d43bfa9ce3df1a892","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"6ce255b60ea1cf2426d92d93d57b360a","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"693866d0f9de3f7b91ce4f1212e3edbb","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3
"a2244adbf7b994366ac327e35fc1ceb1","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"ab899fd9185440e9c1dbcf2faaf0c5d7","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"90b2af1a5eeee866566f39ea9ed2e447","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"74a6b85cea64fefec042e261d3455845","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"fd921c52e2938030882bb0b01d0ecc51","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"3d16d6c2fbbd882947f900613c627c12","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"527969aea7d2036dfcae306b46277f49","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"01a5e9803e1da350503d8be99c66fb02","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified  Streptococcus",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,15,0,0
"88d7f2d77979a4b3dfdfafa15c330e9e","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","Unclassified  Weissella",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"045a24a9043e950709bc435aa984f2fc","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","Unclassified  Leuconostoc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"f1239ce1adc7db60af2e544d87d8148f","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group","NS9_marine_group uncultured_bacterium",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"52fb7be5eaca0cf4f0aea211a94eb46f","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Unclassified Flavobacteriaceae","Unclassified Flavobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"29d62e741bc0925d83497a07a9a2f467","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b_marine_group","Unclassified  NS2b_marine_group",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"0252542d1112cf8c4d04c72196341700","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquibacter","Unclassified  Aquibacter",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"e736c2f377f1399d322eeb4f8b9eae27","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Hyunsoonleella","Unclassified  Hyunsoonleella",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"45a9695c7f7a30f319375defb5f75214","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Unclassified Flavobacteriaceae","Unclassified Flavobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"92ad702d9f517ff30d68ba2125bd61f3","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Unclassified Cyclobacteriaceae","Unclassified Cyclobacteriaceae",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"667c03782df371d1ce853ab932416dc9","d__Bacteria","Bacteroidota","Bacteroidia","Unclassified Bacteroidia","Unclassified Bacteroidia","Unclassified Bacteroidia","Unclassified Bacteroidia",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"7f80027437e79e622fed3e2351b4443a","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Unclassified  Ekhidna",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f79dd196cd78b98219bfa668fa66f0ad","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Unclassified  Ekhidna",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c0550fff0d0998e8c8f18ef27c927bdf","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Unclassified  Ekhidna",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"79cc99d1e40bcf06ea2e68bb5f24e5e1","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Unclassified  Ekhidna",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f703b8a0fa610797a656e29ff73f1cd8","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Marinoscillum","Unclassified  Marinoscillum",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"4d11f15a4ad6652dbf772e75b764d37c","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Fabibacter","Unclassified  Fabibacter",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"934b0ff29541199763452432835ce331","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Fabibacter","Unclassified  Fabibacter",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cbb92b98f82846e6422f94c195832c7c","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Fabibacter","Unclassified  Fabibacter",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"032e5e6e3bf84c1cfa0ae97896950120","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Fabibacter","Unclassified  Fabibacter",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216afb0fefe337325caa268523c20811","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Fabibacter","Unclassified  Fabibacter",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"d9e11523a04f3facd3c4a90efb271103","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"98aa63a9a577aab58e43fd8f6bdd598a","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter","Adhaeribacter uncultured_bacterium",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"a099260b30ed7f0f3807583811263cda","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","Unclassified  uncultured",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"70f60f16a6c6c8cd71f76d5a826062fb","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured uncultured_bacterium",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
"e736897bb5ea8f57fd5230ef2a52af98","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga","Cytophaga uncultured_bacterium",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"807081ee3298a3db4af4d4dc738bd92a","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Fulvivirga","Unclassified  Fulvivirga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"5c79804263f6e04d007231a0e4b73674","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"b2cb2d4ca441d4be7a23eb022b874920","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured uncultured_bacterium",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4127b0ca8d63a67e8369bae1eb8ce13d","d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Unclassified  Pedobacter",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"81a10d442ce8d23dcbc2f28cee654a09","d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Unclassified  Sphingobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
