"","p","freq","freq.pred","pred.lwr","pred.upr","bino.pred","bino.lwr","bino.upr","model","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"02bc7c4dc37209a709845d6b282cf6b0",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Unclassified Fibrobacterales",NA,NA
"03dbf8760e79d2acad0ec2c1fb1e79ed",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA,NA
"04d47c98738cc80175461238d9af8bd8",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Dependentiae","Babeliae","Babeliales","UBA12411",NA,NA
"17eb269131337ba1495b877a1ebf32d6",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae",NA,NA
"3066a55aea93323ec6d766f2274e5b53",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Azambacteria","Candidatus_Azambacteria",NA,NA
"4301b3fa5c085b170518db938fcaeb3b",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured",NA,NA
"44a6b5b149ce97dde8a567907d811025",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","uncultured",NA,NA
"5b4e45bb0b2a7fd35abcd08e6bbba3d5",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Archaea","Thermoplasmatota","Thermoplasmatota","Thermoplasmatota","Thermoplasmatota",NA,NA
"5ebf44ffd0a032b448a6d05a40101015",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Proteobacteria","Gammaproteobacteria","HglApr721","HglApr721",NA,NA
"647ab5eaff0156530511517511eb593a",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales",NA,NA
"65fd0def167df427b76e659bb59e110a",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Latescibacterota","Unclassified Latescibacterota","Unclassified Latescibacterota","Unclassified Latescibacterota",NA,NA
"694654dc4e813ddef6406d0587f30a0d",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae",NA,NA
"6e890bddee7591b407c93c5fcae9db9c",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Elusimicrobiota","Unclassified Elusimicrobiota","Unclassified Elusimicrobiota","Unclassified Elusimicrobiota",NA,NA
"795c31a6a1185d93a22ea5b444386447",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Unclassified Oligoflexales",NA,NA
"82ece182c5721be0e317e8c3c9078add",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Actinobacteriota","Thermoleophilia","uncultured","uncultured",NA,NA
"99bdf55df05d4dbfc0a8596719b37dab",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Verrucomicrobiota","Kiritimatiellae","113B434","113B434",NA,NA
"a060d734ad7ea4c9200e9385535ad171",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Nitrospirota","Thermodesulfovibrionia","Magnetobacteriales","Magnetobacteriaceae",NA,NA
"a9834beee9b9390419a03bc6fe7d3c6d",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Proteobacteria","Gammaproteobacteria","BD72BR169","BD72BR169",NA,NA
"b67db1f3b3530dc0b163c757d72aee3d",1.12612612612613e-06,0.00225225225225225,6.1087780822497e-05,2.47701401111277e-07,0.0148435706554226,0.00224971910052891,0.000396928244530815,0.0126416354412437,"neutral","d__Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Prochlorotrichaceae",NA,NA
